Date,Washington All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),Washington All Grades Conventional Retail Gasoline Prices (Dollars per Gallon),Washington Regular All Formulations Retail Gasoline Prices (Dollars per Gallon),Washington Regular Conventional Retail Gasoline Prices (Dollars per Gallon),Washington Midgrade All Formulations Retail Gasoline Prices (Dollars per Gallon),Washington Midgrade Conventional Retail Gasoline Prices (Dollars per Gallon),Washington Premium All Formulations Retail Gasoline Prices (Dollars per Gallon),Washington Premium Conventional Retail Gasoline Prices (Dollars per Gallon),
Jun-2014,3.994,3.994,3.947,3.947,4.076,4.076,4.193,4.193,
Jul-2014,3.99,3.99,3.943,3.943,4.073,4.073,4.193,4.193,
Aug-2014,3.91,3.91,3.862,3.862,3.991,3.991,4.113,4.113,
Sep-2014,3.82,3.82,3.773,3.773,3.903,3.903,4.026,4.026,
Oct-2014,3.466,3.466,3.414,3.414,3.564,3.564,3.684,3.684,
Nov-2014,3.149,3.149,3.097,3.097,3.24,3.24,3.371,3.371,
Dec-2014,2.859,2.859,2.81,2.81,2.944,2.944,3.076,3.076,
Jan-2015,2.351,2.351,2.3,2.3,2.445,2.445,2.569,2.569,
Feb-2015,2.287,2.287,2.237,2.237,2.374,2.374,2.502,2.502,
Mar-2015,2.786,2.786,2.737,2.737,2.87,2.87,2.998,2.998,
Apr-2015,2.784,2.784,2.731,2.731,2.883,2.883,3.001,3.001,
May-2015,3.028,3.028,2.978,2.978,3.12,3.12,3.241,3.241,
Jun-2015,3.152,3.152,3.097,3.097,3.251,3.251,3.383,3.383,
Jul-2015,3.221,3.221,3.163,3.163,3.328,3.328,3.467,3.467,
Aug-2015,3.102,3.102,3.038,3.038,3.226,3.226,3.366,3.366,
Sep-2015,2.764,2.764,2.697,2.697,2.897,2.897,3.041,3.041,
Oct-2015,2.504,2.504,2.44,2.44,2.631,2.631,2.773,2.773,
Nov-2015,2.494,2.494,2.432,2.432,2.613,2.613,2.748,2.748,
Dec-2015,2.451,2.451,2.392,2.392,2.565,2.565,2.701,2.701,
Jan-2016,2.39,2.39,2.329,2.329,2.504,2.504,2.643,2.643,
Feb-2016,2.111,2.111,2.044,2.044,2.245,2.245,2.381,2.381,
Mar-2016,2.235,2.235,2.171,2.171,2.355,2.355,2.501,2.501,
Apr-2016,2.349,2.349,2.284,2.284,2.475,2.475,2.621,2.621,
May-2016,2.567,2.567,2.502,2.502,2.691,2.691,2.837,2.837,
Jun-2016,2.68,2.68,2.614,2.614,2.809,2.809,2.952,2.952,
Jul-2016,2.7,2.7,2.634,2.634,2.827,2.827,2.97,2.97,
Aug-2016,2.615,2.615,2.551,2.551,2.74,2.74,2.881,2.881,
Sep-2016,2.707,2.707,2.643,2.643,2.834,2.834,2.974,2.974,
Oct-2016,2.747,2.747,2.684,2.684,2.87,2.87,3.01,3.01,
Nov-2016,2.689,2.689,2.624,2.624,2.816,2.816,2.96,2.96,
Dec-2016,2.601,2.601,2.536,2.536,2.729,2.729,2.869,2.869,
Jan-2017,2.743,2.743,2.679,2.679,2.864,2.864,3.006,3.006,
Feb-2017,2.761,2.761,2.698,2.698,2.881,2.881,3.025,3.025,
Mar-2017,2.86,2.86,2.798,2.798,2.977,2.977,3.126,3.126,
Apr-2017,2.938,2.938,2.876,2.876,3.054,3.054,3.198,3.198,
May-2017,2.934,2.934,2.871,2.871,3.054,3.054,3.194,3.194,
Jun-2017,2.878,2.878,2.816,2.816,2.997,2.997,3.14,3.14,
Jul-2017,2.841,2.841,2.776,2.776,2.968,2.968,3.112,3.112,
Aug-2017,2.922,2.922,2.858,2.858,3.048,3.048,3.19,3.19,
Sep-2017,3.095,3.095,3.029,3.029,3.221,3.221,3.371,3.371,
Oct-2017,2.981,2.981,2.916,2.916,3.102,3.102,3.261,3.261,
Nov-2017,3.028,3.028,2.967,2.967,3.142,3.142,3.293,3.293,
Dec-2017,2.986,2.986,2.922,2.922,3.103,3.103,3.255,3.255,
Jan-2018,2.966,2.966,2.9,2.9,3.085,3.085,3.244,3.244,
Feb-2018,3.027,3.027,2.964,2.964,3.143,3.143,3.296,3.296,
Mar-2018,3.101,3.101,3.039,3.039,3.21,3.21,3.367,3.367,
Apr-2018,3.261,3.261,3.2,3.2,3.368,3.368,3.521,3.521,
May-2018,3.389,3.389,3.331,3.331,3.518,3.518,3.649,3.649,
Jun-2018,3.42,3.42,3.362,3.362,3.564,3.564,3.681,3.681,
Jul-2018,3.381,3.381,3.32,3.32,3.53,3.53,3.649,3.649,
Aug-2018,3.343,3.343,3.281,3.281,3.502,3.502,3.616,3.616,
Sep-2018,3.353,3.353,3.292,3.292,3.511,3.511,3.624,3.624,
Oct-2018,3.453,3.453,3.393,3.393,3.605,3.605,3.721,3.721,
Nov-2018,3.42,3.42,3.356,3.356,3.593,3.593,3.692,3.692,
Dec-2018,3.146,3.146,3.078,3.078,3.35,3.35,3.424,3.424,
Jan-2019,2.916,2.916,2.84,2.84,3.153,3.153,3.221,3.221,
Feb-2019,2.818,2.818,2.741,2.741,3.056,3.056,3.124,3.124,
Mar-2019,2.905,2.905,2.833,2.833,3.119,3.119,3.201,3.201,
Apr-2019,3.313,3.313,3.248,3.248,3.481,3.481,3.594,3.594,
May-2019,3.513,3.513,3.445,3.445,3.697,3.697,3.807,3.807,
Jun-2019,3.392,3.392,3.324,3.324,3.584,3.584,3.678,3.678,
Jul-2019,3.242,3.242,3.17,3.17,3.459,3.459,3.538,3.538,
Aug-2019,3.17,3.17,3.092,3.092,3.417,3.417,3.476,3.476,
Sep-2019,3.134,3.134,3.057,3.057,3.381,3.381,3.442,3.442,
Oct-2019,3.294,3.294,3.221,3.221,3.51,3.51,3.595,3.595,
Nov-2019,3.348,3.348,3.271,3.271,3.58,3.58,3.659,3.659,
Dec-2019,3.163,3.163,3.085,3.085,3.388,3.388,3.483,3.483,
Jan-2020,3.029,3.029,2.948,2.948,3.264,3.264,3.367,3.367,
Feb-2020,2.994,2.994,2.911,2.911,3.226,3.226,3.343,3.343,
Mar-2020,2.888,2.888,2.793,2.793,3.191,3.191,3.267,3.267,
Apr-2020,2.455,2.455,2.361,2.361,2.754,2.754,2.833,2.833,
May-2020,2.356,2.356,2.274,2.274,2.567,2.567,2.718,2.718,
Jun-2020,2.574,2.574,2.499,2.499,2.763,2.763,2.905,2.905,
Jul-2020,2.737,2.737,2.668,2.668,2.908,2.908,3.049,3.049,
Aug-2020,2.79,2.79,2.719,2.719,2.964,2.964,3.11,3.11,
Sep-2020,2.806,2.806,2.736,2.736,2.982,2.982,3.121,3.121,
Oct-2020,2.75,2.75,2.679,2.679,2.931,2.931,3.066,3.066,
Nov-2020,2.721,2.721,2.648,2.648,2.91,2.91,3.04,3.04,
Dec-2020,2.688,2.688,2.617,2.617,2.874,2.874,3,3,
Jan-2021,2.696,2.696,2.622,2.622,2.884,2.884,3.021,3.021,
Feb-2021,2.828,2.828,2.756,2.756,3.001,3.001,3.153,3.153,
Mar-2021,3.187,3.187,3.118,3.118,3.339,3.339,3.505,3.505,
Apr-2021,3.316,3.316,3.244,3.244,3.483,3.483,3.644,3.644,
May-2021,3.477,3.477,3.402,3.402,3.66,3.66,3.816,3.816,
Jun-2021,3.604,3.604,3.529,3.529,3.79,3.79,3.942,3.942,
Jul-2021,3.798,3.798,3.723,3.723,3.997,3.997,4.127,4.127,
Aug-2021,3.864,3.864,3.789,3.789,4.059,4.059,4.196,4.196,
Sep-2021,3.859,3.859,3.783,3.783,4.06,4.06,4.191,4.191,
Oct-2021,3.848,3.848,3.772,3.772,4.047,4.047,4.175,4.175,
Nov-2021,3.857,3.857,3.781,3.781,4.058,4.058,4.188,4.188,
Dec-2021,3.826,3.826,3.752,3.752,4.023,4.023,4.149,4.149,
Jan-2022,3.908,3.908,3.831,3.831,4.112,4.112,4.238,4.238,
Feb-2022,3.946,3.946,3.868,3.868,4.16,4.16,4.279,4.279,
Mar-2022,4.634,4.634,4.556,4.556,4.86,4.86,4.957,4.957,
Apr-2022,4.615,4.615,4.529,4.529,4.875,4.875,4.964,4.964,
May-2022,4.936,4.936,4.854,4.854,5.156,5.156,5.292,5.292,
Jun-2022,5.44,5.44,5.357,5.357,5.661,5.661,5.796,5.796,
Jul-2022,5.238,5.238,5.154,5.154,5.493,5.493,5.582,5.582,
Aug-2022,4.789,4.789,4.707,4.707,5.024,5.024,5.136,5.136,
Sep-2022,4.644,4.644,4.557,4.557,4.884,4.884,5.016,5.016,
Oct-2022,5.093,5.093,5.009,5.009,5.32,5.32,5.454,5.454,
Nov-2022,4.655,4.655,4.57,4.57,4.899,4.899,5.016,5.016,
Dec-2022,3.99,3.99,3.902,3.902,4.237,4.237,4.364,4.364,
Jan-2023,3.915,3.915,3.829,3.829,4.151,4.151,4.282,4.282,
Feb-2023,4.111,4.111,4.027,4.027,4.321,4.321,4.476,4.476,
Mar-2023,4.182,4.182,4.098,4.098,4.398,4.398,4.547,4.547,
Apr-2023,4.395,4.395,4.311,4.311,4.602,4.602,4.764,4.764,
May-2023,4.593,4.593,4.509,4.509,4.797,4.797,4.966,4.966,
Jun-2023,4.811,4.811,4.726,4.726,5.03,5.03,5.18,5.18,
Jul-2023,4.935,4.935,4.849,4.849,5.154,5.154,5.312,5.312,
Aug-2023,5.035,5.035,4.954,4.954,5.227,5.227,5.402,5.402,
Sep-2023,5.043,5.043,4.961,4.961,5.254,5.254,5.406,5.406,
Oct-2023,4.862,4.862,4.772,4.772,5.104,5.104,5.253,5.253,
Nov-2023,4.401,4.401,4.304,4.304,4.665,4.665,4.811,4.811,
Dec-2023,4.174,4.174,4.078,4.078,4.421,4.421,4.588,4.588,
Jan-2024,3.991,3.991,3.895,3.895,4.244,4.244,4.41,4.41,
Feb-2024,3.921,3.921,3.826,3.826,4.168,4.168,4.334,4.334,
Mar-2024,4.227,4.227,4.137,4.137,4.446,4.446,4.626,4.626,
Apr-2024,4.596,4.596,4.508,4.508,4.798,4.798,4.995,4.995,
May-2024,4.593,4.593,4.504,4.504,4.792,4.792,5,5,
Jun-2024,4.348,4.348,4.251,4.251,4.601,4.601,4.765,4.765,
,,,,,,,,,
